index,Unnamed: 0,Date,User,Tweet,Cleaned_Tweet,Language,Sentiment,radio,blog,festival
16,16,2022-09-16 16:04:06+00:00,UmbriaJazz_OFC,"In love with @OliviaTrummer  ✨
#ujweekend22 

See you there 🚩 https://t.co/AJACDz916y https://t.co/kQsrf1pRse",In love OliviaTrummer  ujweekend22 See  httpstcoAJACDz916y httpstcokQsrf1pRse,English,Positive,-,-,-
19,19,2022-09-16 09:21:44+00:00,UmbriaJazz_OFC,"What a night ✨
#ujweekend22 https://t.co/xeEVthqWSU","What a night 
ujweekend22 httpstcoxeEVthqWSU",English,Neutral,-,-,-
22,22,2022-09-15 07:51:30+00:00,UmbriaJazz_OFC,@rmc_official  ✨ https://t.co/GSjK7FHbhs,rmcofficial  httpstcoGSjK7FHbhs,English,Neutral,-,-,-
27,27,2022-09-14 13:17:25+00:00,terninrete,"Terni: Umbria Jazz is back in town!
#Terni #UmbriaJazz
https://t.co/EcbjrAIFn6",Terni Umbria Jazz back town Terni UmbriaJazz httpstcoEcbjrAIFn6,English,Neutral,-,-,-
31,31,2022-09-14 05:56:38+00:00,Vadodifritto,"Palco @UmbriaJazz_OFC a #Terni by @Atmo_IT 
Ben fatto!! 👏👏👏 https://t.co/wBqdnhMWPI",Palco UmbriaJazzOFC Terni by AtmoIT Ben fatto  httpstcowBqdnhMWPI,English,Neutral,-,-,-
34,34,2022-09-13 13:55:36+00:00,UmbriaJazz_OFC,"💔 #RamseyLewis 

PH Giancarlo Belfiore #uj13 https://t.co/A1eAgDtgkH", RamseyLewis PH Giancarlo Belfiore uj13 httpstcoA1eAgDtgkH,English,Neutral,-,-,-
43,43,2022-09-07 15:18:06+00:00,UmbriaJazz_OFC,@rmc_official 💛💪 https://t.co/p5gJzxjDfl,rmcofficial  httpstcop5gJzxjDfl,English,Neutral,-,-,-
44,44,2022-09-07 10:25:58+00:00,UmbriaJazz_OFC,"✨CLUB✨
#ujweekend2022

Scopri il programma completo dei club di Umbria Jazz Weekend • Entrata gratuita 👉 https://t.co/AJACDz8th0 https://t.co/GfRbX8Adxr",CLUB ujweekend2022 Scopri programma completo club Umbria Jazz Weekend  Entrata gratuita  httpstcoAJACDz8th0 httpstcoGfRbX8Adxr,English,Neutral,-,-,-
45,45,2022-09-07 08:34:47+00:00,Rufus_in_F4bula,@sonnyrollins Happy Birthday Maestro… tanti auguri from Perugia and the @UmbriaJazz_OFC family. 🎉🎉🎉🎉,sonnyrollins Happy Birthday Maestro tanti auguri Perugia UmbriaJazzOFC family ,English,Positive,-,-,-
47,47,2022-09-06 08:20:40+00:00,UmbriaJazz_OFC,"𝗥𝗼𝗮𝗱 𝘁𝗼 #𝘂𝗷𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝟮𝟮 ☀️
18.09📍 Anfiteatro Romano
@BossoFabrizio Quartet ""We Wonder""

Tickets 🚩 https://t.co/KsFsLHjzlp https://t.co/N2eTD7mqwU",    1809 Anfiteatro Romano BossoFabrizio Quartet We Wonder Tickets  httpstcoKsFsLHjzlp httpstcoN2eTD7mqwU,English,Neutral,-,-,-
